"gender","Grade","LxclScor","FlldScor","cnfgrtnLR","cnfgrtnUD","RdcNoMuti","RdcNodub","trspT","trspV","SRngA","SRngH","PType_Onset","PType_Rime","PType_Tone","PType_None","PType_Mark","PType_1of3","PType_2of3","PType_3of3","MMCScor","MMPScor","MMFScor","COnstScor","CRimScor","CTnScor","POnstScor","PRimScor","PTnScor","DD","stud_ids"
"0","6",49,50,15,25,19,21,20,20,11,29,25,19,24,4,3,10,11,12,40,0,1,6,4,4,5,2,3,"Normal",11180447
"0","6",48,49,15,19,19,15,15,19,11,23,19,15,18,2,4,12,8,8,34,3,3,10,7,5,4,2,3,"Normal",11180448
"0","6",50,50,16,28,21,23,23,21,12,32,27,19,23,4,4,14,11,11,44,0,2,3,3,1,1,2,1,"Normal",11180449
"0","6",50,50,15,28,21,22,23,20,11,32,24,20,23,5,4,12,11,11,43,1,0,6,2,5,5,1,2,"Normal",11180450
"0","6",49,50,9,12,11,10,11,10,5,16,12,9,9,4,3,4,4,6,21,3,7,22,24,5,12,11,3,"Normal",11180451
"0","6",44,49,5,16,13,8,11,10,3,18,13,7,13,2,1,7,7,4,21,0,2,12,9,17,10,7,11,"Normal",11180452
"0","6",49,50,14,27,19,22,21,20,11,30,23,20,20,5,5,10,10,11,41,0,2,2,2,3,1,1,2,"Normal",11180453
"0","6",44,48,10,20,13,17,16,14,5,25,18,15,20,2,2,9,7,10,30,2,0,6,4,11,2,2,2,"Normal",11180454
"0","6",18,21,5,6,7,4,6,5,4,7,6,6,7,0,2,2,4,3,11,0,0,6,0,4,5,0,1,"Dyslexia",11180701
"1","6",50,50,17,27,20,24,23,21,12,32,25,19,21,5,4,14,12,9,44,1,2,3,3,2,2,3,1,"Normal",11180702
"0","6",48,50,11,23,19,15,19,15,9,25,20,14,18,3,4,11,7,9,34,2,5,13,8,5,6,4,4,"Normal",11180703
"0","6",38,41,3,9,6,6,7,5,2,10,7,4,8,2,1,2,4,3,12,1,4,20,7,14,14,5,9,"Normal",11180704
"0","6",50,50,17,25,21,21,20,22,13,29,25,18,21,4,5,12,11,10,42,0,1,4,4,4,2,4,1,"Normal",11180705
"1","6",50,50,17,26,22,21,21,22,11,32,27,20,22,4,4,12,12,11,43,0,1,3,6,2,4,3,3,"Normal",11180707
"1","6",34,36,2,4,4,2,2,4,0,6,3,2,3,1,0,3,1,1,6,1,6,20,14,11,16,10,9,"Normal",11180708
"0","6",50,50,21,27,22,26,23,25,14,34,29,23,25,5,4,14,12,13,48,0,0,1,0,2,1,0,2,"Normal",11180709
"0","6",49,49,19,26,22,23,23,22,10,35,27,18,23,5,5,13,11,11,45,0,1,2,1,2,2,1,3,"Normal",11180710
